"","X","user_id","name","review_count","yelping_since","yelping_since_year","useful","funny","cool","elite","first_elite","nyears_elite","number_friends","fans","average_stars","compliment_hot","compliment_cool","compliment_more","compliment_cute","compliment_profile","compliment_list","compliment_note","compliment_plain","compliment_funny","compliment_writer","compliment_photos","ntips","tips_length_med","negtips","postips","firsttip","secondtip","lasttip","compliment_count_tips","avg_rest_stars","range_long","range_lat","ntips2005","ntips2006","ntips2007","ntips2008","ntips2009","ntips2010","ntips2011","ntips2012","ntips2013","ntips2014","ntips2015","ntips2016","ntips2017","ntips2018","nreviews","review_length_med","negreviews","posreviews","stars1","stars2","stars3","stars4","stars5","firstrev","secondrev","lastrev","avg_rest_stars_rev","range_long_rev","range_lat_rev","nreviews2005","nreviews2006","nreviews2007","nreviews2008","nreviews2009","nreviews2010","nreviews2011","nreviews2012","nreviews2013","nreviews2014","nreviews2015","nreviews2016","nreviews2017","nreviews2018"
"1593",3130,"VxQdz4OBDPB0sieDEssYSQ","Rick",34,"2009-04-10",2009,22,4,2,0,NA,0,9,1,2.9,1,0,0,0,0,0,0,1,0,0,0,1,52,0,1,"2013-08-17",NA,"2013-08-17",0,3.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,72,0,1,0,0,0,0,1,"2013-08-05",NA,"2013-08-05",4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"406",26552,"QEz6osxBbJZNXPA36LVLEA","Jolene",387,"2009-03-15",2009,324,117,144,1,2010,9,85,11,3.53,7,17,1,0,0,0,12,23,17,3,0,2,188.5,0,2,"2018-02-21","2018-02-21","2018-02-21",0,4,0.00403800000000842,0.0221370000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,314,0,1,0,0,1,0,0,"2015-04-23",NA,"2015-04-23",2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"385",8249,"mv1IeIs9H8Or5GOi3JHxrw","Eric",89,"2010-11-15",2010,185,39,75,1,2012,2,53,4,3.69,11,6,1,0,1,0,9,6,6,7,2,6,26.5,1,5,"2012-04-20","2012-04-22","2012-10-13",0,3.5,0.0756266000000068,0.00967190000000073,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,1017,1,9,0,1,2,6,1,"2010-11-19","2011-07-04","2013-04-30",3.85,0.0767455999999953,0.149616399999999,0,0,0,0,0,1,1,7,1,0,0,0,0,0
"278",8773,"Mdkuwout__U_XQFuh30fuw","Jason",54,"2009-10-26",2009,127,43,44,1,2016,2,12,2,4,6,15,1,1,0,0,2,4,15,2,2,1,43,0,1,"2017-09-17",NA,"2017-09-17",0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,518,0,9,1,0,1,2,5,"2011-07-31","2013-03-06","2017-07-28",3.66666666666667,0.0867733000000044,0.0595323000000008,0,0,0,0,0,0,1,0,2,0,0,3,3,0
"26",4974,"pOpkwGtDxep_u4iie00YPQ","hellokittynme",307,"2007-11-02",2007,310,142,163,0,NA,0,51,10,4.08,4,14,4,3,0,0,10,13,14,1,3,5,28,0,5,"2012-02-18","2012-07-01","2012-07-29",0,3.9,3.2334758568,2.6970247959,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,247,0,1,0,0,1,0,0,"2010-08-21",NA,"2010-08-21",3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1962",7976,"3aEJ4MkEMEuXDgsk_4VoXA","Victorious",75,"2008-09-07",2008,159,95,75,0,NA,0,97,9,3.44,2,20,1,0,0,0,6,4,20,2,3,1,57,1,0,"2017-09-23",NA,"2017-09-23",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,973,0,1,0,0,0,0,1,"2010-10-11",NA,"2010-10-11",3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1561",14296,"VVacuGpdNGAkYpLYCXmGZw","Lloyd",153,"2006-03-28",2006,80,52,41,0,NA,0,132,11,3.74,3,0,3,1,0,0,2,3,0,0,0,1,16,0,1,"2011-07-31",NA,"2011-07-31",0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,219,0,2,0,0,1,0,1,"2007-04-07","2007-04-07","2007-04-07",3.5,0.0149328801000053,0.0128016914,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1555",819,"eNUttpTjk6Q5TlSAYV-kMg","Karl",194,"2009-08-28",2009,458,245,262,1,2011,2,124,12,3.76,12,34,1,0,1,0,11,19,34,10,0,18,24.5,1,17,"2011-02-11","2011-12-04","2012-08-07",0,4.11111111111111,35.2892492,4.3881245,0,0,0,0,0,0,8,10,0,0,0,0,0,0,10,425.5,0,10,0,2,2,3,3,"2011-03-04","2011-12-08","2012-07-03",3.8,35.255469,4.3651589,0,0,0,0,0,0,4,6,0,0,0,0,0,0
"1874",17581,"bCnMnbvsoD6OszO8sWO02A","Brianna",95,"2010-11-14",2010,147,41,42,0,NA,0,27,6,3.79,2,2,0,0,0,0,5,1,2,4,0,1,45,0,1,"2013-04-29",NA,"2013-04-29",0,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,749,0,1,0,0,1,0,0,"2013-04-29",NA,"2013-04-29",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1284",16763,"b7qDvcH9rC9r8iLDiHMlsw","Jessie",48,"2010-09-22",2010,78,14,21,0,NA,0,51,3,3.56,0,1,0,0,0,0,1,1,1,1,0,3,46,0,3,"2012-04-21","2012-09-03","2012-09-03",0,3.83333333333333,0.0533513257000067,0.0226422806000031,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,724,0,1,1,0,0,0,0,"2016-11-30",NA,"2016-11-30",4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
